,rpn_cls,rpn_regr,detector_cls,detector_regr
0,2.563693364461263,0.5951847632726034,0.9814795653025309,0.0
1,3.8420666456222534,0.8668243288993835,1.4698109030723572,0.0
2,4.561516857147216,1.017142939567566,1.7591583728790283,0.0
3,4.892038981119792,1.1519559423128765,1.9493589003880818,0.0
4,5.124421392168317,1.2278831175395422,2.0824476991380965,0.17412965638296946
5,5.185391962528229,1.2552001476287842,2.171546697616577,0.3131779581308365
6,5.132274627685547,1.2827928860982258,2.2314668231540256,0.401126397980584
7,5.094906949996949,1.3445995092391967,2.2736505031585694,0.481847083568573
8,4.940198302268982,1.2255498170852661,2.0890307426452637,0.4993451138337453
9,5.190167683821458,1.275723512356098,2.0725741386413574,0.5836337529695951
10,5.5416392258235385,1.298558839729854,2.0151309030396596,0.5419456277574811
11,5.004116863012314,1.215954378247261,1.8466786891222,0.474202424287796
12,4.866779285318711,1.2553310534533333,1.7800364038523506,0.4463081640355727
13,4.520372259616852,1.14482684135437,1.5152845114469529,0.3793619394302368
14,4.530376740864345,1.1820477474303472,1.4479395704610007,0.3612970851716541
15,4.171587018966675,1.0458486652374268,1.2184207440912724,0.30348955154418944
16,4.371881255736718,1.070784160724053,1.1797773713389268,0.3628147886349605
17,4.071567313424472,1.0071658101575127,1.0577314551438215,0.32528222429341286
18,4.0675630331039425,1.037182879447937,1.0224737537559454,0.31443948348363243
19,4.0523015837515555,1.0647658417301793,0.9894907332866983,0.3042962743389991
20,4.010252855718136,1.0905814282596111,0.9585691528627964,0.2947870157659054
